sample,site,label,distance_R1,lon,lat,location,,,data_sampled,,date_analysed,,metal,value_ug,value_mg,value
Con22_G1_W3,W3,,961,6684950,309058,Alwells's shaft,9,0,13.09.2022,Water,13.10.2022,,Cu (mg/L),410,0.41,410
Con22_G3_W3,W3,,961,6684950,309058,Alwells's shaft,10,0,14.09.2022,Water,13.10.2022,,Cu (mg/L),430,0.43,430
Con22_G1_W3,W3,,961,6684950,309058,Alwells's shaft,9,0,13.09.2022,Water,13.10.2022,,Pb (mg/L),87,0.087,87
Con22_G3_W3,W3,,961,6684950,309058,Alwells's shaft,10,0,14.09.2022,Water,13.10.2022,,Pb (mg/L),92,0.092,92
CON22_GP2_W3 ,W3,Con22_G2_W3,961,6684950,309058,,,,,,,,pH,5.47,5.47,5.47
CON22_GP3_W3 ,W3,Con22_G3_W3,961,6684950,309058,,,,,,,,pH,4.18,4.18,4.18
CON22_G4_W3 ,W3,Con22_G4_W3,961,6684950,309058,,,,,,,,pH,4.41,4.41,4.41
Con22_G1_W3,W3,,961,6684950,309058,Alwells's shaft,9,0,13.09.2022,Water,13.10.2022,,Zn (mg/L),4400,4.4,4400
Con22_G3_W3,W3,,961,6684950,309058,Alwells's shaft,10,0,14.09.2022,Water,13.10.2022,,Zn (mg/L),4600,4.6,4600
Con22_G2_W4,W4,,1445,6685104,308716,Lower slag,11,1,13.09.2022,Water,13.10.2022,,As (mg/L),40,0.04,40
Con22_G4_W4,W4,,1445,6685091,308708,Lower slag,12,0,14.09.2022,Water,13.10.2022,,As (mg/L),39,0.039,39
Con22_G2_W4,W4,,1445,6685104,308716,Lower slag,11,1,13.09.2022,Water,13.10.2022,,Cu (mg/L),420,0.42,420
Con22_G4_W4,W4,,1445,6685091,308708,Lower slag,12,0,14.09.2022,Water,13.10.2022,,Cu (mg/L),430,0.43,430
Con22_G2_W4,W4,,1445,6685104,308716,Lower slag,11,1,13.09.2022,Water,13.10.2022,,Pb (mg/L),94,0.094,94
Con22_G4_W4,W4,,1445,6685091,308708,Lower slag,12,0,14.09.2022,Water,13.10.2022,,Pb (mg/L),100,0.1,100
CON22_GP3_W4 ,W4,Con22_G3_W4,1445,6685104,308716,,,,,,,,pH,7.15,7.15,7.15
CON22_G5_W4 ,W4,Con22_G5_W4,1445,6685104,308716,,,,,,,,pH,4.26,4.26,4.26
Con22_G2_W4,W4,,1445,6685104,308716,Lower slag,11,1,13.09.2022,Water,13.10.2022,,Zn (mg/L),4400,4.4,4400
Con22_G4_W4,W4,,1445,6685091,308708,Lower slag,12,0,14.09.2022,Water,13.10.2022,,Zn (mg/L),4500,4.5,4500
Con22_G1_W5,W5,,1650,6685036,308602,Lower tailings,13,0,13.09.2022,Water,13.10.2022,,As (mg/L),36,0.036,36
Con22_G1_W5,W5,,1650,6685036,308602,Lower tailings,13,0,13.09.2022,Water,13.10.2022,,Cu (mg/L),460,0.46,460
Con22_G1_W5,W5,,1650,6685036,308602,Lower tailings,13,0,13.09.2022,Water,13.10.2022,,Pb (mg/L),110,0.11,110
CON22_G5_W5 ,W5,Con22_G5_W5,1650,6685036,308602,,,,,,,,pH,4.1,4.1,4.1
Con22_G1_W5,W5,,1650,6685036,308602,Lower tailings,13,0,13.09.2022,Water,13.10.2022,,Zn (mg/L),4300,4.3,4300
Con22_G4_W5,W5.1,LT,1623,6685019,308563,"Lower tailings / ""Lower Tailings Leachate""",14,0,14.09.2022,Water,13.10.2022,,As (mg/L),37,0.037,37
Con22_G4_W5,W5.1,LT,1623,6685019,308563,"Lower tailings / ""Lower Tailings Leachate""",14,0,14.09.2022,Water,13.10.2022,,Cu (mg/L),490,0.49,490
Con22_G4_W5,W5.1,LT,1623,6685019,308563,"Lower tailings / ""Lower Tailings Leachate""",14,0,14.09.2022,Water,13.10.2022,,Pb (mg/L),110,0.11,110
Con22_G4_W5,W5.1,LT,1623,6685019,308563,"Lower tailings / ""Lower Tailings Leachate""",14,0,14.09.2022,Water,13.10.2022,,Zn (mg/L),4600,4.6,4600
Con22_G2_W6,W6,,2024,6685136.487,308292.515,Dredgings pile,15,0,13.09.2022,Water,13.10.2022,,As (mg/L),7,0.007,7
Con22_G4_W6,W6,,2024,6685136.487,308292.515, Dredgings pile more downstream! Tin basin,16,0,14.09.2022,Water,13.10.2022,,As (mg/L),6,0.006,6
Con22_G2_W6,W6,,2024,6685136.487,308292.515,Dredgings pile,15,0,13.09.2022,Water,13.10.2022,,Cu (mg/L),74,0.074,74
Con22_G4_W6,W6,,2024,6685136.487,308292.515, Dredgings pile more downstream! Tin basin,16,0,14.09.2022,Water,13.10.2022,,Cu (mg/L),74,0.074,74
Con22_G2_W6,W6,,2024,6685136.487,308292.515,Dredgings pile,15,0,13.09.2022,Water,13.10.2022,,Pb (mg/L),9,0.009,9
Con22_G4_W6,W6,,2024,6685136.487,308292.515, Dredgings pile more downstream! Tin basin,16,0,14.09.2022,Water,13.10.2022,,Pb (mg/L),10,0.01,10
CON22_G5_W6 ,W6,Con22_G5_W6,2024,6685136.487,308292.515,,,,,,,,pH,4.07,4.07,4.07
Con22_G2_W6,W6,,2024,6685136.487,308292.515,Dredgings pile,15,0,13.09.2022,Water,13.10.2022,,Zn (mg/L),650,0.65,650
Con22_G4_W6,W6,,2024,6685136.487,308292.515, Dredgings pile more downstream! Tin basin,16,0,14.09.2022,Water,13.10.2022,,Zn (mg/L),640,0.64,640
